Wall time,Step,Value,Alpha,Column 1
1568055025.06771,393216,0.953145682811737,0.5,0.953145682811737
1568055147.55788,458752,0.944421589374542,Column 1,0.953145682811737
1568055760.79201,786432,0.888686895370483,0.953145682811737,0.94878363609314
1568056130.93477,983040,0.868469595909119,0.953145682811737,0.918735265731812
1568056253.7264,1048576,0.832952678203583,0.94878363609314,0.893602430820465
1568056622.67268,1245184,0.856468260288239,0.918735265731812,0.863277554512024
1568056745.62079,1310720,0.843443632125855,0.893602430820465,0.859872907400131
1568056868.44326,1376256,0.792724788188934,0.863277554512024,0.851658269762993
1568057362.90648,1638400,0.824787259101868,0.859872907400131,0.822191528975964
1568058839.01674,2424832,0.766896843910217,0.851658269762993,0.823489394038916
1568059331.10255,2686976,0.752133727073669,0.822191528975964,0.795193118974566
1568059577.24829,2818048,0.763190090656281,0.823489394038916,0.773663423024118
1568059823.38114,2949120,0.801857531070709,0.795193118974566,0.768426756840199
1568059946.42974,3014656,0.77965235710144,0.773663423024118,0.785142143955454
1568060192.70415,3145728,0.739899754524231,0.768426756840199,0.782397250528447
1568060931.27202,3538944,0.765507817268372,0.785142143955454,0.761148502526339
1568061054.31733,3604480,0.743851602077484,0.782397250528447,0.763328159897355
1568061177.76197,3670016,0.736141204833984,0.761148502526339,0.75358988098742
1568061301.07332,3735552,0.752659022808075,0.763328159897355,0.744865542910702
1568061424.39081,3801088,0.757311165332794,0.75358988098742,0.748762282859389
1568062167.72807,4194304,0.72335821390152,0.744865542910702,0.753036724096091
1568062414.59285,4325376,0.71796178817749,0.748762282859389,0.738197468998806
1568062658.77009,4456448,0.725832045078278,0.753036724096091,0.728079628588148
1568062780.75085,4521984,0.746185183525085,0.738197468998806,0.726955836833213
1568063146.65626,4718592,0.757780492305756,0.728079628588148,0.736570510179149
1568063268.60696,4784128,0.744120478630066,0.726955836833213,0.747175501242452
1568063390.56263,4849664,0.715856611728668,0.736570510179149,0.745647989936259
1568063512.54651,4915200,0.712910830974579,0.747175501242452,0.730752300832464
1568064122.47858,5242880,0.740317523479462,0.745647989936259,0.721831565903521
1568064732.39616,5570560,0.706924796104431,0.730752300832464,0.731074544691492
1568065098.10823,5767168,0.697316229343414,0.721831565903521,0.718999670397961
1568065220.21351,5832704,0.684457898139954,0.731074544691492,0.708157949870688
1568065951.84283,6225920,0.676760613918304,0.718999670397961,0.696307924005321
1568066927.60341,6750208,0.69581925868988,0.708157949870688,0.686534268961813
1568067293.66133,6946816,0.695829927921295,0.696307924005321,0.691176763825846
1568067415.66524,7012352,0.694155812263489,0.686534268961813,0.693503345873571
1568068269.40872,7471104,0.675516307353973,0.691176763825846,0.69382957906853
1568068635.35367,7667712,0.687632143497467,0.693503345873571,0.684672943211252
1568068879.03024,7798784,0.700031399726868,0.69382957906853,0.686152543354359
1568069732.44615,8257536,0.661142110824585,0.684672943211252,0.693091971540613
1568069854.35669,8323072,0.69425904750824,0.686152543354359,0.677117041182599
1568070221.32865,8519680,0.684207677841187,0.693091971540613,0.685688044345419
1568070343.19306,8585216,0.687961935997009,0.677117041182599,0.684947861093303
1568071196.15597,9043968,0.662305295467377,0.685688044345419,0.686454898545156
1568071440.4011,9175040,0.671839952468872,0.684947861093303,0.674380097006266
1568071684.32065,9306112,0.691222250461578,0.686454898545156,0.673110024737569
1568071806.07606,9371648,0.670450687408447,0.674380097006266,0.682166137599574
1568071928.04616,9437184,0.653761804103851,0.673110024737569,0.67630841250401
1568072781.09293,9895936,0.654405057430267,0.682166137599574,0.665035108303931
1568073390.62533,10223616,0.677550792694092,0.67630841250401,0.659720082867099
1568073634.33128,10354688,0.679864048957825,0.665035108303931,0.668635437780595
1568073756.51386,10420224,0.665721595287323,0.659720082867099,0.67424974336921
1568074243.84197,10682368,0.655971884727478,0.668635437780595,0.669985669328266
1568074853.14594,11010048,0.654487609863281,0.67424974336921,0.662978777027872
1568074974.91259,11075584,0.676299393177033,0.669985669328266,0.658733193445577
1568075340.35063,11272192,0.634794533252716,0.662978777027872,0.667516293311305
1568076071.55391,11665408,0.645065665245056,0.658733193445577,0.65115541328201
1568076193.39125,11730944,0.657764792442322,0.667516293311305,0.648110539263533
1568076437.10363,11862016,0.633359432220459,0.65115541328201,0.652937665852928
1568076802.72431,12058624,0.652837872505188,0.648110539263533,0.643148549036693
1568077046.38625,12189696,0.677738904953003,0.652937665852928,0.647993210770941
1568077168.19864,12255232,0.693669557571411,0.643148549036693,0.662866057861972
1568077411.78383,12386304,0.647418558597565,0.647993210770941,0.678267807716691
1568077655.30405,12517376,0.660100281238556,0.662866057861972,0.662843183157128
1568077777.50196,12582912,0.636763453483581,0.678267807716691,0.661471732197842
1568078630.10156,13041664,0.631697535514831,0.662843183157128,0.649117592840712
1568079605.25512,13565952,0.706244647502899,0.661471732197842,0.640407564177772
1568079727.30152,13631488,0.645252227783203,0.649117592840712,0.673326105840335
1568079849.43381,13697024,0.668608367443085,0.640407564177772,0.659289166811769
1568080337.1929,13959168,0.658336579799652,0.673326105840335,0.663948767127427
1568081556.55334,14614528,0.630398750305176,0.659289166811769,0.66114267346354
