Wall time,Step,Value,Column 1
1568055025.06765,393216,0.677978515625,0.677978515625
1568055147.5576,458752,0.59033203125,0.677978515625
1568055760.79194,786432,0.66162109375,0.6341552734375
1568056130.93471,983040,0.75341796875,0.64788818359375
1568056253.72631,1048576,0.69873046875,0.700653076171875
1568056622.67263,1245184,0.737548828125,0.699691772460938
1568056745.62074,1310720,0.72265625,0.718620300292969
1568056868.44316,1376256,0.68359375,0.720638275146484
1568057362.90643,1638400,0.771728515625,0.702116012573242
1568058839.01669,2424832,0.67626953125,0.736922264099121
1568059331.10249,2686976,0.730712890625,0.706595897674561
1568059577.24824,2818048,0.760986328125,0.71865439414978
1568059823.38105,2949120,0.760498046875,0.73982036113739
1568059946.42967,3014656,0.7548828125,0.750159204006195
1568060192.70403,3145728,0.6875,0.752521008253098
1568060931.27196,3538944,0.75634765625,0.720010504126549
1568061054.31728,3604480,0.780517578125,0.738179080188274
1568061177.76191,3670016,0.77880859375,0.759348329156637
1568061301.07322,3735552,0.763916015625,0.769078461453319
1568061424.3907,3801088,0.77880859375,0.766497238539159
1568062167.72794,4194304,0.704345703125,0.77265291614458
1568062414.59272,4325376,0.78125,0.73849930963479
1568062658.76955,4456448,0.769775390625,0.759874654817395
1568062780.75074,4521984,0.748046875,0.764825022721197
1568063146.65607,4718592,0.7734375,0.756435948860599
1568063268.60685,4784128,0.775390625,0.764936724430299
1568063390.56206,4849664,0.729736328125,0.77016367471515
1568063512.54599,4915200,0.736083984375,0.749950001420075
1568064122.47847,5242880,0.795166015625,0.743016992897537
1568064732.39602,5570560,0.785888671875,0.769091504261269
1568065098.10811,5767168,0.791015625,0.777490088068134
1568065220.21339,5832704,0.76220703125,0.784252856534067
1568065951.84229,6225920,0.73681640625,0.773229943892034
1568066927.6033,6750208,0.78857421875,0.755023175071017
1568067293.66077,6946816,0.802978515625,0.771798696910508
1568067415.66464,7012352,0.783447265625,0.787388606267754
1568068269.40812,7471104,0.718994140625,0.785417935946377
1568068635.35317,7667712,0.808837890625,0.752206038285689
1568068879.02966,7798784,0.796630859375,0.780521964455344
1568069732.44604,8257536,0.779296875,0.788576411915172
1568069854.35609,8323072,0.78955078125,0.783936643457586
1568070221.32858,8519680,0.80029296875,0.786743712353793
1568070343.19293,8585216,0.79833984375,0.793518340551896
1568071196.15585,9043968,0.78564453125,0.795929092150948
